ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
6559,6419,6559,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima rhicnota,
6561,6419,6561,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima rhomboidella,
6566,6419,6566,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima scopulosa,
6568,6419,6568,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima scotia,
6570,6419,6570,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima silvestris,
6572,6419,6572,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima simulacrella,
6574,6419,6574,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima solutrix,
6576,6419,6576,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima sorograpta,
6578,6419,6578,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima spathota,
6580,6419,6580,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima sphenophora,
6582,6419,6582,,,false,5031,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima stenosa,
6583,6419,6583,,,false,5032,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima subdentata,"Typical Hypatima, much smaller than artochroma. Labial palpus 2, with 'double brush'. Allotype ?, 17.i.1939, slide no. 961, Diakonoff."
6584,6419,6584,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima sublectella,Number of specimens not stated in original description; the only specimen in BMNH should be designated as the lectotype.
6586,6419,6586,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima syncrypta,
6588,6419,6588,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima tenebrosa,
6590,6419,6590,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima tephroplintha,
6592,6419,6592,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima tephroptila,
6595,6419,6595,,,false,5039,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima teramotoi,
6596,6419,6596,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima tessulata,
6598,6419,6598,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima tetraptila,
6600,6419,6600,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima tonsa,
6602,6419,6602,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima toreuta,
6604,6419,6604,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima trachyspila,
6606,6419,6606,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima triannulata,
6608,6419,6608,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima tricosma,
6610,6419,6610,,,false,5047,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima valvasymmetria,
6612,6419,6612,,,false,5049,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima venefica,
6613,6419,6613,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima verticosa,
6615,6419,6615,,,false,5051,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima vinculata,
6616,6419,6616,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima xerophanta,
